名稱,斷詞結果_0,斷詞結果_1,斷詞結果_2,斷詞結果_3,斷詞結果_4,斷詞結果_5,斷詞結果_6,斷詞結果_7,斷詞結果_8,斷詞結果_9,斷詞結果_10,斷詞結果_11,斷詞結果_12,斷詞結果_13,斷詞結果_14,斷詞結果_15,斷詞結果_16,斷詞結果_17,斷詞結果_18,斷詞結果_19,斷詞結果_20,斷詞結果_21,斷詞結果_22,斷詞結果_23,斷詞結果_24,斷詞結果_25,斷詞結果_26,斷詞結果_27,斷詞結果_28,斷詞結果_29,斷詞結果_30,斷詞結果_31,斷詞結果_32,斷詞結果_33,斷詞結果_34,斷詞結果_35,斷詞結果_36,斷詞結果_37,斷詞結果_38,斷詞結果_39,斷詞結果_40,斷詞結果_41,斷詞結果_42,斷詞結果_43,斷詞結果_44,斷詞結果_45,斷詞結果_46,斷詞結果_47,斷詞結果_48,斷詞結果_49,斷詞結果_50,斷詞結果_51,斷詞結果_52,斷詞結果_53,斷詞結果_54
煉鋼爐石於工程材料之應用研究—第二階段,煉鋼,爐石,於,工程,材料,之,應用,研究,—,第二,階段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
煉鋼爐石於工程材料之應用研究-第二階段,煉鋼,爐石,於,工程,材料,之,應用,研究,-,第二,階段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度曾文水庫集水區巡查管理暨衛星監測計畫,104年度,曾文,水庫,集水區,巡查,管理,暨,衛星,監測,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度高屏溪流域河川水質採樣檢測分析工作計畫,104年度,高屏溪,流域,河川,水質,採樣,檢測,分析,工作,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104-105年度廢棄物清理專業技術人員訓練計畫,104-,105年度,廢棄物,清理,專業,技術人員,訓練,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度曾文、牡丹、阿公店、高屏溪、甲仙攔河堰水質檢驗分析計畫(契約編號︰MOEAWRA1040287),104年度,曾文,、,牡丹,、,阿公店,、,高屏溪,、,甲仙,攔河堰,水質,檢驗,分析,計畫,(,契約,編號,︰,MOEAWRA,1040287,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「南星計畫中程計畫第12期暨各掩埋場環境品質監測計畫」之海域水文調查工作,「,南星,計畫,中程,計畫,第12,期,暨,各,掩埋場,環境,品質,監測,計畫,」,之,海域,水文,調查,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
通霄電廠更新擴建計畫:循環水泵及附屬設備製造安裝工程--進水口結構模型測試,通霄,電廠,更新,擴建,計畫,:,循環,水泵,及,附屬,設備,製造,安裝,工程,--,進水口,結構,模型,測試,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空氣污染防制專責人員訓練計畫,空氣,污染,防制,專責,人員,訓練,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中龍脫硫石膏作為CLSM材料之現地鋪築試驗,中龍,脫,硫,石膏,作為,CLSM,材料,之,現地,鋪築,試驗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
製造業節能減碳服務團計畫之耗能設備效率提升輔導分包計畫,製造業節,能,減,碳,服務團,計畫,之,耗能,設備,效率,提升,輔導,分包,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度「太陽熱能利用與補助作業計畫」(1/2)(案號：104─D0303),104年度,「,太陽,熱能,利用,與,補助,作業,計畫,」,(,1/2,),(,案號,：,104,─D,0303,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104至105年度環境用藥專業技術人員訓練計畫,104,至,105年度,環境,用藥,專業,技術人員,訓練,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
缺陷成因分析程式模組開發勞務委託(採購單號︰3000426063),缺陷,成因,分析,程式,模組,開發,勞務,委託,(,採購,單號,︰,3000426063,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台灣地區北部區域雙溪水庫可行性規劃檢討(5)-工程專題-強地動儀維護觀測及分析(案號︰103074),台灣,地區,北部,區域,雙溪,水庫,可行性,規劃,檢討,(5),-,工程,專題,-,強,地動儀,維護,觀測,及,分析,(,案號,︰,103074,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後龍溪水資源環境觀測及調查計畫(2)-強地動儀維護觀測及資料整理(2/2),後龍,溪,水,資源,環境,觀測,及,調查,計畫,(2),-,強,地動儀,維護,觀測,及,資料,整理,(,2/2,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古蹟、歷史建築石材調查記錄方法研究（第2年）,古蹟,、,歷史,建築,石材,調查,記錄,方法,研究,（,第2,年,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
士林靈糧堂大直會堂新建工程綠建築工程專案管理,士林,靈糧堂,大直,會堂,新建,工程,綠,建築,工程,專案,管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隘寮溪、林邊溪、士文溪及牡丹水庫水資源聯合運用規劃(案號︰103064),隘寮溪,、,林邊溪,、,士文溪,及,牡丹,水庫,水,資源,聯合,運用,規劃,(,案號,︰,103064,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
路思義教堂整修研究計畫-熱環境調查研究與改善建議案,路思義,教堂,整修,研究,計畫,-,熱,環境,調查,研究,與,改善,建議案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高屏溪上游集水區水土保持處理及維護需求評估,高屏溪,上游,集水區,水土,保持,處理,及,維護,需求,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建築物節能外牆之應用研究,建築物節,能,外,牆,之,應用,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氣候變遷下臺灣九大地下水資源區地下水潛能變化之研究(2/2),氣候,變遷,下,臺灣,九,大,地下水,資源區,地下水,潛能,變化,之,研究,(,2/2,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風力發電伺服減速機齒輪節能製程開發,風力,發電,伺服,減速機齒輪,節,能,製程,開發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
毒性化學物質專業技術管理人員訓練計畫(EPA-104-TB02-02-26),毒性,化學,物質,專業,技術,管理,人員,訓練,計畫,(,EPA-104-TB02-02-,26,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河口及海岸漂沙觀測技術研究(1/3),河口,及,海岸,漂沙,觀測,技術,研究,(,1/3,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度資料浮標系統及錨繫設備更新,104年度,資料,浮標,系統,及,錨繫,設備,更新,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH77-A標瀝青混凝土碳足跡與現地施工機具油耗率盤查,WH77-A,標瀝青,混凝土,碳,足跡,與,現地,施工,機具,油耗率,盤查,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
古蹟周邊營建工程及其他開發行為規範研究與執行策略評估,古蹟,周邊,營建,工程,及,其他,開發,行為,規範,研究,與,執行,策略,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國內BIM元件通用格式與建置規範研究,國內,BIM,元件,通用,格式,與,建置,規範,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
因應氣候變遷水源設施脆弱度盤查方法研究(2/3),因應,氣候,變遷,水源,設施,脆弱度,盤查,方法,研究,(,2/3,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新型高溫質子交換膜材料技術開發─質子交換膜/磺酸化Imidazole　摻雜技術,新型,高溫,質子,交換膜,材料,技術,開發,─,質子,交換膜,/,磺酸化,Imidazole　,摻雜,技術,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
複合性災害實驗用實尺寸鋼構屋結構行為研究,複合性,災害,實驗,用,實,尺寸,鋼構屋,結構,行為,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度七家灣溪水文影像監測計畫,104年度,七家灣溪,水文,影像,監測,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帷幕牆現地試驗方法國家標準化研究,帷幕,牆,現地,試驗,方法,國家,標準化,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三晃股份有限公司104年度製造業節能減碳服務團計晝之耗能設備效率提升輔導分包計畫暨企業社會責任(CSR)報告書輔導計畫,三晃,股份,有限公司,104年度,製造業節,能,減,碳,服務,團,計晝,之,耗能,設備,效率,提升,輔導,分包,計畫,暨,企業,社會,責任,(,CSR,),報告書,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,
應用結構物強震監測紀錄檢討我國耐震設計規範中水平及垂直地震力之設計值(二),應用,結構物,強震,監測,紀錄,檢討,我國,耐震,設計,規範,中,水平,及,垂直,地震力,之,設計值,(二),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
既有建築物節能改善之評估研究(1042001INER008),既有,建築物節,能,改善,之,評估,研究,(,1042001,INER,008,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隔熱漆耐久年限之檢測研究,隔熱,漆,耐,久,年限,之,檢測,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISG法　InP單晶體生長之熱流模擬,VISG,法,　InP,單晶體,生長,之,熱流,模擬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
災害性瞬變海象之研究(4/4),災害性,瞬變,海象,之,研究,(,4/4,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
產業永續發展與因應國際環保標準輔導計畫之企業社會責任(CSR)推廣輔導　分包計畫,產業,永續,發展,與,因應,國際,環保,標準,輔導,計畫,之,企業,社會,責任,(,CSR,),推廣,輔導,　,分包,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公共給水水源及水廠藻毒風險預警及處理對策研究(2/2),公共,給,水水源,及,水廠,藻毒,風險,預警,及,處理,對策,研究,(,2/2,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非莫拉克災區與特定事件(颱風豪雨或地震等事件)後LiDAR高解析度數值地形製作之檢核與監審(3/3）,非,莫拉克,災區,與,特定,事件,(,颱風,豪雨,或,地震,等,事件,),後,LiDAR,高解析度,數值,地形,製作,之,檢核,與,監審,(,3/3,）,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投資組合規劃,投資,組合,規劃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度「墾丁國家公園遊憩服務經營管理計畫」,104年度,「,墾丁,國家,公園,遊憩,服務,經營,管理,計畫,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流體化床氣化爐之多相流模式建置與測試,流體化,床氣化爐,之,多,相流,模式,建置,與,測試,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大鵬灣風景特定區遊一區綠建築標章評估服務,大鵬灣,風景,特定區,遊,一,區,綠,建築,標章,評估,服務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台18線山區道路（五彎仔路段）邊坡耐震評估及震後災損速報系統雛型之研究,台18線,山區,道路,（,五彎仔,路段,）,邊坡,耐震,評估,及,震,後,災損,速報,系統,雛型,之,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福海離岸風場海氣象觀測計畫,福海,離岸,風場,海,氣象,觀測,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104─105年度近海水文觀測站網維護管理與運作(1/2),104,─,105年度,近海,水文,觀測,站,網,維護,管理,與,運作,(,1/2,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
螢幕視訊之異質性內容對分享服務之效能影響前期研究(採購單號:3000427157),螢幕,視訊,之,異質性,內容,對,分享,服務,之,效能,影響,前期,研究,(,採購,單號,:3000427157),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
製程揮發性有機物處理單元效率及排放量評估,製程,揮發性,有機物,處理,單元,效率,及,排放量,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第19屆(2015年)國土規劃論壇研討會,第19,屆,(,2015年,),國土,規劃,論壇,研討會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第19屆(2015年)國土規劃論壇研討會,第19,屆,(,2015年,),國土,規劃,論壇,研討會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雷射積層製造相變行為模擬勞務委託(採購單號︰3000427973),雷射,積層,製造,相變,行為,模擬,勞務,委託,(,採購,單號,︰,3000427973,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiracleBand手環之睡眠品質監測功能驗證及醫事人員試用評估,MiracleBand,手環,之,睡眠,品質,監測,功能,驗證,及,醫事,人員,試用,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公路邊坡崩塌監測之無線感測網路模組研發(1/2)(MOTC-IOT-H1DB001b),公路,邊坡,崩塌,監測,之,無線,感測,網路,模組,研發,(,1/2,),(,MOTC-IOT-H1DB001,b,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海域油污監測與擴散模擬技術研發(2/3),海域,油污,監測,與,擴散,模擬,技術,研發,(,2/3,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馬可先生食品企業有限公司紅薏仁銀耳露(飲品)、雜糧鳳梨酥、黑麥雜糧吐司產品碳足跡暨碳標籤輔導計畫,馬可,先生,食品,企業,有限公司,紅薏仁,銀耳露,(,飲品,),、,雜糧,鳳梨酥,、,黑麥,雜糧,吐司,產品,碳足跡,暨,碳,標籤,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市淹水潛勢圖第二次更新計畫,臺南市,淹水,潛勢圖,第二,次,更新,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以有機金屬化學氣相沉積系統製備砷化銦鎵鋁材料之費布力-佩若雷射元件於磷化銦基板,以,有機,金屬,化學,氣相,沉積,系統,製備,砷化銦,鎵鋁,材料,之,費布力,-,佩若,雷射,元件,於,磷化銦,基板,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有機材料合成技術合作計畫,有機,材料,合成,技術合作,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「福爾摩沙牛樟芝粉」的護肝功能之研究,「,福爾摩沙,牛樟芝粉,」,的,護,肝,功能,之,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海氣象自動化預報模擬系統作業化校修與維運,海氣象,自動化,預報,模擬,系統,作業化,校修,與,維運,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中油公司2015年永續報告書之編製與認證,中油,公司,2015年,永續,報告書,之,編製,與,認證,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大客車包租型態產業分析與管理策略(案號︰1040117A),大客車,包租,型態,產業,分析,與,管理,策略,(,案號,︰,1040117,A,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度歷史街區振興補助執行計畫,104年度,歷史,街區,振興,補助,執行,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
聯成化學科技股份有限公司企業社會責任(CSR)報告書輔導計畫,聯成,化學,科技,股份,有限公司,企業,社會,責任,(,CSR,),報告書,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台灣玻璃工業股份有限公司企業社會責任(CSR)報告書輔導計畫,台灣,玻璃,工業,股份,有限公司,企業,社會,責任,(,CSR,),報告書,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東台精機股份有限公司企業社會責任(CSR)報告書輔導計畫,東台,精機,股份,有限公司,企業,社會,責任,(,CSR,),報告書,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺鹽公司「2014年企業社會責任報告書」輔導專案,臺鹽,公司,「,2014年,企業,社會,責任,報告書,」,輔導,專案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣海域未來平均海平面升降變動率之推估(計畫編號︰MOTC-IOT-104-H3DB003a),臺灣,海域,未來,平均,海平面,升降,變動率,之,推估,(,計畫,編號,︰,MOTC-IOT-104-H3DB003,a,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年綠建築及綠色工廠輔導案委託專業服務案,104年,綠,建築,及,綠色,工廠,輔導案,委託,專業,服務案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年水災災情蒐集服務團計畫,104年,水災,災情,蒐集,服務團,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
綠建築標章審查作業精進計畫,綠,建築,標章,審查,作業,精進,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
綠建材標章審查作業精進計畫,綠,建材,標章,審查,作業,精進,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNSS-R接收機雛形體發展(案號︰NSPO-S-104019),GNSS-R,接收機,雛形體,發展,(,案號,︰,NSPO-S-,104019,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水資源經營管理跨域合作與行政透明研究,水,資源,經營,管理,跨域,合作,與,行政,透明,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國泰化工廠股份有限公司企業社會責任(CSR)報告書輔導計畫,國泰化工廠,股份,有限公司,企業,社會,責任,(,CSR,),報告書,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度「我國海域礦區石油與天然氣資源潛能評估－南海(3/3)（案號:1040303C）」,104年度,「,我國,海域,礦區,石油,與,天然氣,資源,潛能,評估,－,南海,(,3/3,),（,案號,:,1040303,C,）,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國道３號田寮３號高架橋及中寮隧道長期改善設計、監測技術服務委外大地變位監測分析與評估工作(104),國道,３號,田寮,３號,高架橋,及,中寮,隧道,長期,改善,設計,、,監測,技術,服務,委外,大地,變位,監測,分析,與,評估,工作,(104),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pharmacoeconomic　analysis　of　echinocandins　in　the　treatments　of　candidemia　and　invasive　candidiasis　in　Taiwan,Pharmacoeconomic　analysis　,of,　echinocandins　in　the　treatments　of　candidemia　and　invasive　candidiasis　in　Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度「我國海域礦區石油與天然氣資源潛能評估－東海(2/3)（案號:1040213C）」,104年度,「,我國,海域,礦區,石油,與,天然氣,資源,潛能,評估,－,東海,(,2/3,),（,案號,:,1040213,C,）,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
離岸風力機支撐結構與基礎之工程技術、試驗及最佳化設計研究,離岸,風力機,支撐,結構,與,基礎,之,工程,技術,、,試驗,及,最佳化,設計,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我國港灣壓艙水污染問題管理法制化之研究(3/4)(計畫編號︰MOTC-IOT-104-H2DB005b),我國,港灣,壓艙水,污染,問題,管理,法制化,之,研究,(,3/4,),(,計畫,編號,︰,MOTC-IOT-104-H2DB005,b,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屏東縣下埔頭、大庄及東海養殖生產區生態景觀型海水供水系統整體規劃-海域水質、養殖區環境及供水站海水鹽度調查工作,屏東縣,下埔頭,、,大庄,及,東海,養殖,生產區,生態,景觀型,海水,供水,系統,整體,規劃,-,海域,水質,、,養殖區,環境,及,供水站,海水,鹽度,調查,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,
港灣結構物受異常波浪影響分析(2/3),港灣,結構物,受,異常,波浪,影響,分析,(,2/3,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
軌道運輸系統營運資訊整合平台建置與應用計畫,軌道,運輸,系統,營運,資訊,整合,平台,建置,與,應用,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年公路總局永續發展社會責任計畫,104年,公路,總局,永續,發展,社會,責任,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
集水區環境監測與變遷分析(2/3),集水區,環境,監測,與,變遷,分析,(,2/3,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graph　Searching　for　Threat　Behavior　Analysis相關技術研發,Graph　,Searching　for　,Threat　,Behavior　,Analysis,相關,技術,研發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄海岸監測調查及離岸堤沉陷原因分析(1/2),高雄,海岸,監測,調查,及,離岸堤,沉陷,原因,分析,(,1/2,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feasibility　Assessment　of　SDE　Skin　Delivery　and　Formulation　Development,Feasibility　Assessment　of　SDE　Skin　,Delivery　and　,Formulation　,Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玉山永續環境論壇暨環境奈米科技學術研討會,玉山,永續,環境,論壇,暨,環境,奈米,科技,學術,研討會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以工程策略提升液態肥料中之胺基酸含量,以,工程,策略,提升,液態,肥料,中,之,胺基酸,含量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度地形圖資料標準訂定及推動工作案,104年度,地形圖,資料,標準,訂定,及,推動,工作案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飲用水水源及水質標準項目之調查及評估(2/3),飲用水,水源,及,水質,標準,項目,之,調查,及,評估,(,2/3,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研擬海岸法枋山鄉與車城鄉居民之影響分析報告,研擬,海岸,法枋山鄉,與,車城鄉,居民,之,影響,分析,報告,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北區水資源局轄管水庫堰體水質監測與生態環境調查研究計畫(2/3)-藻毒檢測(契約編號︰S103P138W),北區,水,資源局,轄管,水庫,堰體,水質,監測,與,生態環境,調查,研究,計畫,(,2/3,),-,藻毒,檢測,(,契約,編號,︰,S103,P,138,W,),,,,,,,,,,,,,,,,,,,,,,,,,,,
三鶯線捷運系統計畫基本設計及專案管理顧問委託技術服務案─全線二維淹水模擬工作委託契約,三鶯線,捷運,系統,計畫,基本,設計,及,專案,管理,顧問,委託,技術,服務,案,─,全,線,二,維,淹水,模擬,工作,委託,契約,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103-104年度毒性化學物質環境流布背景計畫(第二年),103-,104年度,毒性,化學,物質,環境,流布,背景,計畫,(,第二,年,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太陽船技術評估與商業運轉發展模式分析,太陽船,技術,評估,與,商業,運轉,發展,模式,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定污染源空氣污染物連續自動監測設施管理暨制度研修計畫,固定,污染源,空氣,污染物,連續,自動,監測,設施,管理,暨,制度,研修,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度多尺度遙測影像分析與展示平台擴充維護,104年度,多,尺度,遙測,影像,分析,與,展示,平台,擴充,維護,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年科技委辦計畫品質管理與推廣計畫,104年,科技,委辦,計畫,品質,管理,與,推廣,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年度數值地形模型相關計畫成果維護管理及整合服務工作案,104年度,數值,地形,模型,相關,計畫,成果,維護,管理,及,整合,服務,工作案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
參加ISO　TC92/SC2標準修制訂工作小組會議,參加,ISO　TC92/SC2,標準,修制,訂,工作,小組,會議,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大屯山地熱區高溫硫氧化菌篩選勞務(採購單號:3000428527),大屯,山地,熱區,高溫,硫氧化菌,篩選,勞務,(,採購,單號,:3000428527),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西拉雅國家風景區重要遊憩據點資源調查暨遊客量統計方式研擬案,西拉雅,國家,風景區,重要,遊憩,據點,資源,調查,暨,遊客量,統計,方式,研擬案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104年南部科學工業園區社會責任及環保績效展現計畫,104年,南部,科學,工業,園區,社會,責任,及,環保,績效,展現,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
